AuthorsWhoPublishedContinually
Abdellatif Zaidi
Enzo Pasquale Scilingo
Fabio Babiloni
George Bebis
Giuliano Antoniol
Giuseppe Caire
Gordon K. Lee
Gregory W. Wornell
Grigori Sidorov
Guanglin Li
Guy Albert Dumont
Haizhou Li 0001
Harri Oinas-Kukkonen
Helge B. D. Sørensen
Hermann Ney
Hervé Bourlard
Hideo Fujiwara
Huawei Li
Ido Tal
Irina E. Bocharova
Irith Pomeranz
Isao Yamada
James A. Malcolm
Jan Marco Leimeister
Jiang Liu 0001
Jing Wang
John H. L. Hansen
Joseph B. Major
Jozo J. Dujmovic
János Pach
Kannan Ramchandran
Katsuro Inoue
Lars C. Wolf
Lifeng Lai
Luca Faes
Mads Græsbøll Christensen
Marco Gruteser
Mark Butlin
Masahito Hayashi
Massimiliano Di Penta
Mayank Bakshi
Michele A. Wigger
Michelle Effros
Moeness G. Amin
Moshe Schwartz 0001
Mustafa Cenk Gursoy
Nils Urbach
Nitish V. Thakor
Olgica Milenkovic
Osvaldo Simeone
Parastoo Sadeghi
Patrick A. Naylor
Paul H. Siegel
Peter Johnson
Philip S. Yu
Pierre Duhamel
Preben Kidmose
Raimon Jané
Ralf Schlüter
Ramji Venkataramanan
Randall A. Berry
Ricardo L. Armentano
Richard C. Holt
Robert McCartney
Robert W. Heath Jr.
Ross J. Anderson
Roy D. Yates
Sai-Ho Ling
Sariel Har-Peled
Sennur Ulukus
Shanbao Tong
Shlomo Shamai
Shrikanth S. Narayanan
Shun Watanabe
Shusaku Tsumoto
Sidharth Jaggi
Socrates Dokos
Sridhar P. Arjunan
Sriram Vishwanath
Stefan Kopp
Stéphane Ducasse
Suhas N. Diggavi
Sundeep Rangan
Sylvia B. Encheva
Takaaki Hori
Tara Javidi
Thomas A. Courtade
Thomas P. Barnwell III
Thomas Stieglitz
Timothy N. Davidson
Timothy W. Bickmore
Todd P. Coleman
Uri Erez
Vlasta Bari
Volkan Cevher
Wei Chen
Wojciech Szpankowski
Yasunori Endo
Yasutada Oohama
Yingbin Liang
Yoshinori Kuno
Yossef Steinberg
Zixiang Xiong
Adam Domanski
Ahmed Amine Jerraya
Alexander F. Gelbukh
Andreas Herkersdorf
Andrey M. Turlikov
Andries Petrus Engelbrecht
Atulya K. Nagar
Axel Legay
Aïda Valls
Bashir M. Al-Hashimi
Beata Bylina
Bernd Becker 0001
C. Lee Giles
Carlos Segura
Chih-Lyang Hwang
Christoph Meinel
Chunxiao Xing
Daniel Ashlock
Dariusz Rzonca
David Atienza
David Bainbridge 0001
Derek T. Anderson
Dieter Schmalstieg
Donatella Sciuto
Edward A. Fox
El-Ghazali Talbi
Elena Troubitsyna
Elisabeth Métais
Francky Catthoor
Frank-Michael Schleif
Gerd Ascheid
Gianluca Palermo
Giovanni De Micheli
Gudrun Klinker
Hani Hagras
Henk Corporaal
Hichem Frigui
Hideharu Amano
Hideo Bannai
Hidetomo Ichihashi
Hiroaki Kotera
Hsinchun Chen
Ian H. Witten
Irith Pomeranz
Janusz Kacprzyk
Jaroslaw Bylina
Jie Lu 0001
Joanna Domanska
Johan A. K. Suykens
John K. Debenham
Jong-Hwan Kim 0001
João M. C. Sousa
Jure Leskovec
Jörg Henkel
Kalyanmoy Deb
Kotaro Hirasawa
Leszek A. Maciaszek
Lizhen Xu
Luigi Carro
Maguelonne Teisseire
Mahmut T. Kandemir
Marc Boullé
Marek Sawerwain
Maria Ganzha
Marie Cottrell
Marijn Janssen
Masaru Kitsuregawa
Masayuki Takeda
Massimo Poncino
Massoud Pedram
Matteo Sonza Reorda
Michael L. Nelson
Michal Mackowski
Mihail Popescu
Moinuddin K. Qureshi
Oliver Bringmann 0001
Onur Mutlu
Paris Kitsos
Pascal Bouvry
Patrick Bosc
Petr Fiser
Petru Eles
Qiang Shen 0001
Quanyan Zhu
Raimund Ubar
Rajesh K. Gupta 0001
Remzi H. Arpaci-Dusseau
Ricardo Baeza-Yates
Rolf Drechsler
Roy S. Berns
Ruben Verborgh
Sabine Süsstrunk
Sadok Ben Yahia
Sally Jo Cunningham
Sherah Kurnia
Stéphanie Delaune
Susana M. Vieira
Swagatam Das
Tapabrata Ray
Valeria Bertacco
Vilas Wuwongse
Wen-mei W. Hwu
William H. Sanders
Witold Pedrycz
Wolfgang Nejdl
Xiang Li
Xin Yao 0001
Yiqun Liu 0001
Yuan Xie 0001
Yuval Ishai
Zoe Falomir
Abd-Elhamid M. Taha
Alberto Bemporad
Ali Saberi
Andreas Spanias
Andreas Stolcke
Anna Perini
Annie I. Antón
Antoine Girard
Anton A. Stoorvogel
Arumugam Nallanathan
Athina P. Petropulu
Azzedine Boukerche
Barry Haddow
Behçet Açikmese
Bernd Becker 0001
Bhaskar D. Rao
Bhiksha Raj
Bin Ma
Biswanath Mukherjee
Björn E. Ottersten
C.-C. Jay Kuo
Cailian Chen
Carl Gutwin
Cheng Li 0005
Chin-Hui Lee
Christian Callegari
Daphne Koller
David Maxwell Chickering
Depei Qian
Dirk T. M. Slock
Eduard A. Jorswieck
Ely Porat
Ender Ayanoglu
Eric Rogers
Esther Guerra
F. Richard Yu
Fang Yang
Fedor V. Fomin
Florian Metze
Francis T. Marchese
Frank Stephan 0001
Frédéric Mazenc
Gaël Richard
Geoffrey Ye Li
George J. Pappas
Georges Quénot
Gerd Ascheid
Giovanni De Micheli
Haizhou Li 0001
Hamid Krim
Henri Prade
Hermann Ney
Hideo Bannai
Hongya Ge
Hui Gao 0001
Irith Pomeranz
Jamie S. Evans
Javad Mohammadpour
Jean-Luc Gauvain
Jeffrey D. Ullman
Jelena V. Misic
Ji-Woong Lee
Jianhua Lu
Jing Sun
John H. L. Hansen
John H. Reif
John Lygeros
John M. Carroll
John Mylopoulos
Jonathan G. Fiscus
Junmin Wang
Junping Du
Kazuo Misue
Keiichi Tokuda
Khaled Ben Letaief
Khalid A. Qaraqe
Krishnendu Chatterjee
Krzysztof Wnuk
Kunio Kashino
Lajos Hanzo
Leonardo Badia
Les E. Atlas
Linda C. van der Gaag
Luis Alonso 0001
Mads Græsbøll Christensen
Manfred Morari
Marco Di Renzo
Marius Pesavento
Markku J. Juntti
Martin D. F. Wong
Martin Haardt
Masayuki Takeda
Massimiliano Di Penta
Mehran Mesbahi
Mei-Ling Shyu
Meixia Tao
Michael D. Zoltowski
Michael Hempel
Michael Malisoff
Miguel-Ángel Sicilia
Mikkel Thorup
Moeness G. Amin
Mohamed-Slim Alouini
Mohsen Guizani
Monika Henzinger
Neelesh B. Mehta
Nidal Nasser
Nikhil Bansal
Nir Friedman
Nirwan Ansari
Norbert Seyff
Oliver Sawodny
Oliver W. W. Yang
Patrick A. Naylor
Paul Davidsson
Peter J. Seiler
Philip V. Orlik
Pierre Duhamel
Pierre Vandergheynst
Pingyi Fan
Piotr Indyk
Prakash P. Shenoy
Qinye Yin
Raphael Yuster
Richard J. Lipton
Richard M. Schwartz
Robert Schober
Robert W. Heath Jr.
Romano Fantacci
Rongxing Lu
Ross D. Shachter
Rupak Majumdar
Sandipan Mishra
Sergio Barbarossa
Sheldon X.-D. Tan
Shi Jin 0002
Shinji Watanabe 0001
Shinsaku Kiyomoto
Shoichi Koyama
Shrikanth S. Narayanan
Shu-Ching Chen
Shunsuke Inenaga
Simon Doclo
Song Guo 0001
Soumaya Cherkaoui
Stefano Tubaro
Steffen Lange
Søren Holdt Jensen
Takao Kobayashi
Tharmalingam Ratnarajah
Theo Ungerer
Theodor G. Wyeld
Tiejun Lv
Truong Q. Nguyen
Victor C. M. Leung
Vijay K. Bhargava
Vikram Krishnamurthy
Vincent W. S. Wong
Vojislav B. Misic
W. Bastiaan Kleijn
Walter Kellermann
Wei Chen
Wen Chen 0001
Wing-Kin Ma
Xiangyun Zhou 0001
Xiaodong Lin
Yahong Rosa Zheng
Ying-Chang Liang
Yu Cheng 0003
Zhaocheng Wang 0001
Zhi Ding 0001
Zhu Han
Zvi Galil
Alexander Fay
Artur Kornilowicz
Biswanath Mukherjee
Dennis Sylvester
Eby G. Friedman
Francky Catthoor
Geoff Sutcliffe
Gur Mosheiov
H. Jaap van den Herik
Heikki Topi
Henry M. Walker
Huawei Li
Irith Pomeranz
J. Morris Chang
Jean-François Cordeau
Jeffrey L. Popyack
Massoud Pedram
Mengdao Xing
Niraj K. Jha
Owe Axelsson
Philip Hills
Philip S. Yu
Roch H. Glitho
Roland R. Wagner
Silvia Giordano
Ulrich Jumar
Xiaofang Zhou 0001
Yan Timanovsky
Yasunari Shidama
Yuan Yan Tang
Adel M. Alimi
Bernhard Schölkopf
Biswanath Mukherjee
Boris Bellalta
Ching-Hsue Cheng 0001
Christian S. Jensen
Divesh Srivastava
Giuseppe Caire
H. V. Jagadish
Hans van Ditmarsch
Janice C. Sipior
Jianhua Ge
Jing Liu
Jing Wang
Jishan Fan
Joe Zhu
Justo Puerto
Krishnendu Chatterjee
Maode Ma
Michael Benedikt
Michael W. Mahoney
Nils Boysen
Philip S. Yu
Rajkumar Buyya
Robert C. MacGregor
Robert Schober
Rubén Ruiz
Ruslan Salakhutdinov
Shlomo Shamai
Stef Tijs
Swagatam Das
T. C. Edwin Cheng
Toby Walsh
Tova Milo
Victor C. M. Leung
Witold Pedrycz
Xin Luna Dong
Yong Zhou 0004
Yoshua Bengio
Zeshui Xu
Zhu Han
A. E. Cawkell
Abhi Shelat
Abraham Kandel
Adrian Farrel
Alex Biryukov
Antoine Joux
Arpita Patra
Benny Applebaum
Bernard Aboba
Bernard De Baets
Bo-Yin Yang
Boris Skoric
C. Pandu Rangan
Carmine Abbate
Carmit Hazay
Cesar Sanín
Charles Cresson Wood
Christine Urquhart
Christof Paar
Claude Carlet
Craig Costello
Damien Stehlé
Dan Boneh
Dan Page
Dan Wing
Daniel J. Bernstein
Daniel Wichs
Daniele Venturi 0001
David Bawden
Debiao He
Dennis Hofheinz
Dionyz Pogany
Donal O'Regan
Eike Kiltz
Elisa Bertino
Elisabeth Oswald
Eric Rescorla
Eric Woirgard
Eyal Kushilevitz
Fangguo Zhang
Florian Mendel
François-Xavier Standaert
Fred Baker
George J. Papaioannou
Giovanna Mura
Giuseppe Ateniese
Giuseppe De Pietro
Gregor Leander
Guido Groeseneken
Harold Joseph Highland
Helger Lipmaa
Hiroshi Iwai
Huaxiong Wang
Itai Dinur
Ivan Damgård
Jan A. Bergstra
Jan Camenisch
Jan Treur
Jangmyung Lee
Jerry N. Luftman
Johannes A. Buchmann
John Edwards
Joyce K. Reynolds
Jung Hee Cheon
Jérémy Jean
Jörn Müller-Quade
Kaoru Kurosawa
Kim-Kwang Raymond Choo
Krzysztof Pietrzak
Lou Berger
Magnus Westerlund
Manoj Prabhakaran
Marshall T. Rose
Marten van Dijk
Mauro Ciappa
Michael Naehrig
Mike Rosulek
Nan-Jing Huang
Nathalie Malbert
Nigel P. Smart
Nir Bitansky
Nobuyuki Fujisawa
Palash Sarkar 0001
Patrick Longa
Paul E. Hoffman
Peter Schwabe
Phillip Guddemi
Pippa Smart
Ralf Küsters
Ran Canetti
Ranulph Glanville
Reijo Savolainen
Reinhard Wilhelm
Robert H. Deng
Roberto Menozzi
Rosario Gennaro
Russell Housley
Salil P. Vadhan
Sam Kwong
Seny Kamara
Shafi Goldwasser
Shai Halevi
Stephen Saxby
Steve Saxby
Steven Furnell
Stéphane Lefebvre
Sung Ik Park
Søren Brier
Thomas Peyrin
Tony Owen
Ueli Maurer
Vadim Lyubashevsky
Vinod Vaikuntanathan
Vojkan Davidovic
Wanlei Zhou
Witold Pedrycz
Xinyi Huang
Yalin Chen
Yannick Seurin
Yi Mu 0001
Zeshui Xu
Zhenfu Cao
Abram Hindle
Ahmed E. Hassan
Alexander Serebrenik
Anand Sivasubramaniam
Anne-Laure Jousselme
Audun Jøsang
Azzedine Boukerche
Ba-Ngu Vo
Benjamin Noack
Bernhard Neumair
Bernhard Schölkopf
Bram Adams
Chi Zhang
Chita R. Das
Chongzhao Han
Christian Huemer
Christian Scheideler
Christos Kozyrakis
David Aveiro
David Lo 0001
David Taniar
Dennis Sylvester
Denys Poshyvanyk
Frank Kargl
Frank Leymann
François Bry
François-Xavier Standaert
Gabi Dreo Rodosek
Gee Wah Ng
Genshe Chen
Giuliano Antoniol
Hans-Peter Kriegel
Hendrik Drachsler
Heng Huang
Hiroyuki Kitagawa
J. Wenny Rahayu
Javier Bajo
Jian Lan
Jie Li
Jindrich Duník
Jing Wang
Karsten Schwan
Kokou Yétongnon
Kung-Kiu Lau
Kwang-Ting Cheng
Lauro Snidaro
Longbing Cao
Luís Ferreira Pires
Mahmut T. Kandemir
Manfred Reichert
Martin Necaský
Massimiliano Di Penta
Matthias Hollick
Michael W. Godfrey
Min Li
Ming Zhang 0004
Ohad Shamir
Omer F. Rana
Ondrej Straka
Onur Mutlu
Osamu Watanabe 0001
Paolo Rosso
Paolo Tonella
Paulo Ferreira 0001
Philip S. Yu
Phillip B. Gibbons
Rainer Knauf
Rakesh Nagi
Richard Chbeir
Romain Rouvoy
Rong Yang
Rui Liu
Schahram Dustdar
Setsuo Tsuruta
Shane Dawson
Stefano Coraluppi
Thomas Engel 0001
Todd M. Austin
Trevor N. Mudge
Wolfgang Koch 0001
Yao-Wen Chang
Yoshua Bengio
Yuping Wang
Yutaka Ishikawa
Zhansheng Duan
Zoran Milosevic
Baoming Bai
Benoit Baudry
Claes Wohlin
Desmond P. Taylor
Gennian Ge
Gianluigi Ferrari
Gordon L. Stüber
Hajo A. Reijers
Hao Li
Helen D. Karatza
Hortensia Galeana-Sánchez
Ian F. Akyildiz
James Hartley
Jim Esch
Jing Wang
John Cowan
Khaled Ben Letaief
Khalid A. Qaraqe
Khee Meng Koh
Lajos Hanzo
Marco Di Renzo
Michael Gurstein
Mohamad Y. Jaber
Mohamed-Slim Alouini
Naixue Xiong
Nick Rushby
Oleg V. Borodin
Paris Avgeriou
Paul Erdös
René Thiemann
Richard H. Schelp
Robert Schober
Stanislav Jendrol'
T. C. Edwin Cheng
Victor C. M. Leung
Vijay K. Bhargava
Zhi Ding 0001
Zsolt Tuza
Akira Hirose
Alan P. Schaum
Chi-Sing Leung
Chris Dyer
Christopher D. Manning
Dror G. Feitelson
Edward J. Delp III
Graham Neubig
Haizhou Li 0001
Ido Dagan
Jana Dittmann
Jia Zhang 0001
Jie Wu 0003
Joakim Nivre
Kaizhu Huang
Liang Huang 0001
Minho Lee
Rakesh Agrawal 0001
Regina Barzilay
Shiyong Lu
Shoji Hirano
Shusaku Tsumoto
Tzung-Pei Hong
Andrew R. Teel
Arie Hasman
Arthur W. Apter
Behrooz Makki
Bin Jiang 0001
Bing Chen 0001
Blackford Middleton
Changyun Wen
Christos G. Cassandras
David K. Vawdrey
Didier Rognan
Eitan Altman
Eytan Modiano
Fei-Yue Wang 0001
Feng Li
Ferran Hurtado
Gavriel Salvendy
Guang-Ren Duan 0001
Hongfang Liu
Hsiao-Hwa Chen
Huaguang Zhang
Jack J. Dongarra
James D. McKeen
James Lam
Jennifer Rexford
Jie Huang 0001
Jinde Cao
Jing Li
Jing Wang
Johan A. K. Suykens
John Lygeros
Joshua C. Denny
Jürgen Bajorath
Kai Zheng 0002
Kang G. Shin
Lajos Hanzo
Laura Gardini
Leon O. Chua
Ligang Wu
Lingfeng Wang
Lucila Ohno-Machado
Makoto Itoh
MengChu Zhou
Mohamed-Slim Alouini
Mohammad Shahidehpour
Nenad Trinajstic
Ning Lu 0002
Onno J. Boxma
Paul M. Thompson
Peng Shi 0001
Peng Wang
Peter C. Jurs
Philip S. Yu
Randolph A. Miller
Richard H. Middleton
Robert P. Sheridan
Shengyuan Xu
Shumin Fei
Stéphane Lafortune
Subhash C. Basak
Suzanne Bakken
Tao Jiang 0002
Tom Stewart
Tong Heng Lee
Varun Grover
Victor C. M. Leung
Vincent W. S. Wong
Wei Xing Zheng 0001
Witold Pedrycz
Youxian Sun
Zhong-Ping Jiang
Zuyi Li
Alberto Bemporad
Alexander Richter
Alfredo Germani
Ali Saberi
Anders Rantzer
Andrea D'Ambrogio
Andrew R. Teel
Angel Smrikarov
Angelo Cenedese
Ann Apps
Antoine Girard
Antonio Tornambè
Arie Levant
Azzedine Boukerche
Bernd Becker 0001
Boris Rachev
C.-C. Jay Kuo
Calin Belta
Carlo Novara
Carlo Tasso
Carlos Delgado Kloos
Carlos Martín-Vide
Changjie Tang
Christoph Meinel
Christopher Kruegel
Christos G. Cassandras
Claudio Agostino Ardagna
Claudio De Persis
Damiano Varagnolo
Damien Joseph
Daniele Carnevale
Domitilla Del Vecchio
Erik Duval
Erik I. Verriest
Eugenio Schuster
Floriana Esposito
Francesco Bullo
Frank Leymann
Frédéric Mazenc
George A. Constantinides
George J. Pappas
Giuseppe Franzè
Gustavo Rossi
Helen D. Karatza
Hendra Ishwara Nurdin
Henri Prade
J. Alex Halderman
Jamal Daafouz
Jan M. Maciejowski
Janusz A. Brzozowski
Jason R. Marden
Jennifer Rexford
John Lygeros
John Mylopoulos
Jorge Cortés
João Pedro Hespanha
Junliang Chen
Jürgen Becker 0001
Jürgen Ziegler 0001
Klaus Schneider 0001
Levent Yilmaz
Lorenzo Marconi
Magnus Egerstedt
Manfred Morari
Manfred Reichert
Marc Hassenzahl
Marco Platzner
Maria Prandini
Maryam Kamgarpour
Mehran Mesbahi
Michael Malisoff
Michael Prilla
Mihailo R. Jovanovic
Ming Cao 0001
Nael H. El-Farra
Nicanor Quijano
Oliver Kopp
Pablo A. Parrilo
Pawel Pralat
Peter Y. K. Cheung
Philip Heng Wai Leong
Quanyan Zhu
Ritu Agarwal
Robert Meersman
Roberto Tempo
Rodolphe Sepulchre
Rolf Drechsler
Sarah Diefenbach
Scott Shenker
Sertac Karaman
Shun-Ichi Azuma
Steven H. Low
Stéphane Lafortune
Susanne Boll
Svetozar Margenov
Tadayoshi Kohno
Tomohisa Hayakawa
Tomomichi Hagiwara
Tor Arne Johansen
Vern Paxson
Warren E. Dixon
Wei Xing Zheng 0001
Wei Zhang 0013
Xiaolin Hu
Yingmin Jia
Yuri B. Shtessel
Zhihua Qu
Zhong-Ping Jiang
Zibin Zheng
Zohra Bellahsene
Adam Finkelstein
Alan C. Bovik
Alec Jacobson
Alla Sheffer
Andrea Gaggioli
Andrea Tagliasacchi
Ariel Shamir
Arthur H. M. van Roermund
Carsten Dachsbacher
Cengiz Kahraman
Cláudio T. Silva
Dacheng Tao
Dani Lischinski
Daniel A. Keim
Daniel Weiskopf
David Bommes
Derek Nowrouzezahrai
Elmar Eisemann
Emilio Corchado
Enrico Gobbetti
Eric K. Clemons
Erol Gelenbe
Fabrice Rousselle
Fangyan Dong
Francesco Palmieri
Frédo Durand
George V. Neville-Neil
Giuseppe Riva
Guangming Shi
Haibin Ling
Haibo He
Hao Zhang 0002
Henrik Wann Jensen
Hiroyuki Torikai
Holger Theisel
Hong Qin
Hongbo Fu
Huamin Wang
Hugues Hoppe
Jaakko Lehtinen
Jan Kautz
Jay F. Nunamaker Jr.
Jin Huang 0001
Jinde Cao
Jing Zhang
Johan A. K. Suykens
Jonathan Ragan-Kelley
Junwei Han
Justin Solomon 0001
Karol Myszkowski
Keiichi Shirase
Ken-ichi Kawarabayashi
Lee-Sup Kim
Leif Kobbelt
Li Wang
M. Eduard Gröller
Maneesh Agrawala
Manuel M. Oliveira
Mark D. Griffiths
Michael Unser
Michiel van de Panne
Ming C. Lin
Mirela Ben-Chen
Niloy J. Mitra
Oliver van Kaick
Panos M. Pardalos
Paolo Cignoni
Pat Hanrahan
Peng Shi 0001
Qi Tian 0001
Qionghai Dai
Rajkumar Buyya
Ravi Ramamoorthi
Reinhard Klein
Robert J. Kauffman
Robert O. Briggs
Ron Shamir
Rui Li
Sam Kwong
Shanthi Pavan
Shen-Iuan Liu
Shi-Min Hu 0001
Shuang Zhao
Shuicheng Yan
Siddhartha Chaudhuri
Skip Rizzo
Stanley J. Osher
Stelian Coros
Sylvain Lefebvre 0001
Tomaz Pisanski
Tong Heng Lee
Truong Q. Nguyen
Ulrich Pinkall
Valerio Pascucci
Wei Wang
Wei Wu
Wei Xing Zheng 0001
Wencheng Wang
Wojciech Jarosz
Wouter A. Serdijn
Xiang Li
Xiaolin Wu 0001
Xin Tong 0001
Xinbo Gao
Xingxing Yu
Yang Liu 0014
Yaron Lipman
Yu-Guang Yang 0001
Zhihua Wang
A. J. Bernheim Brush
A. J. Ko 0001
Abigail Sellen
Alan J. Dix
Alexander Refsum Jensenius
Andy Cockburn
Anneli Heimbürger
Antonio Corradi
Atau Tanaka
Audrey Desjardins
Azzedine Boukerche
Barry A. T. Brown
Ben Shneiderman
Bianca Truthe
Björn E. Ottersten
Björn Hartmann
Bo Li 0035
Brent J. Hecht
Brian P. Bailey
Carl Gutwin
Chao Wang
Christopher D. Hundhausen
Clara Mancini
Dana Shapira
Daniel D. Garcia
David R. Millen
Deng Cai
Edward Cutrell
Eitan Altman
Eli Blevis
Elisa Bertino
Emmanuel Pietriga
Enrico Rukzio
Frank Vetere
Friedrich Otto
Hannu Jaakkola
Harald Reiterer
Hee-Jun Kang
Heinrich Hussmann
Heng Huang
Hiroshi Harada
Ian H. Witten
Jacob O. Wobbrock
Jacques Savoy
Jan O. Borchers
Jeffrey Bardzell
Jeremy P. Birnholtz
Ji-Xiang Du
Jing Li
Jing Wang
Jing Zhang
Joan Serra-Sagristà
Jodi Forlizzi
Johan Jeuring
John C. McCarthy
John H. Reif
Julie A. Kientz
Julie Zelenski
Jun Rekimoto
Justin Matejka
Jürgen Steimle
Kang-Hyun Jo
Kannan Ramchandran
Kenta Umebayashi
Khaled Ben Letaief
Li Li
Lorrie Faith Cranor
Margaret M. Burnett
Marianna Obrist
Mark Blythe
Markus Holzer 0001
Massimo Villari
Matt Jones 0001
MengChu Zhou
Michael W. Marcellin
Michelle Effros
Mohamed-Slim Alouini
Nick Parlante
Orit Hazzan
Paolo Bellavista
Peter Y. K. Cheung
Petra Perner
Philippe A. Palanque
Qiang Yang 0001
Ravin Balakrishnan
Regan L. Mandryk
Roel Vertegaal
Ron Wakkary
Rubaiat Habib Kazi
Rudolf Freund
Scott E. Hudson
Shaun K. Kane
Shriram Krishnamurthi
Sidney S. Fels
Sriram Subramanian
Stefano Levialdi
Stephen H. Edwards
Sue Fitzgerald
Susan H. Rodger
Susan R. Fussell
Susanne Boll
Tadayoshi Kohno
Ursula Wolz
Victor C. M. Leung
Vincent Conitzer
Walter Ukovich
Wei Liu
Wendy E. Mackay
William Odom
Xiaolan Xie
Xiaolin Wu 0001
Xing Chen
Yan Zhang
Ying Tan
Yoshinori Kuno
Yu-Gang Jiang
Yuanchun Shi
Yuhui Shi
Yvonne Rogers
Ali Emadi
Andreas S. Pomportsis
Andrzej Skowron
Antonio Espuña Camarasa
Bin Wu
Blaise Cronin
Charles T. Meadow
Chin-Chen Chang 0001
Eoghan Casey
F. Richard Yu
Gintaras V. Reklaitis
Gonzalo Guillén-Gosálbez
Guandong Xu
Helen D. Karatza
Hsiao-Hwa Chen
Hsinchun Chen
Ignacio E. Grossmann
James F. Peters
Jan Marco Leimeister
Jaroslaw Stepaniuk
Jayme Luiz Szwarcfiter
Jie Lu 0001
Jiming Chen 0001
Josep M. Guerrero
Jun Li 0004
Junmin Wang
Kah Chan Teh
Lajos Hanzo
Leandro dos Santos Coelho
Lois F. Lunin
Luis García de Vicuña
Mark Thorson
Marylyn D. Ritchie
Michael G. Pecht
Mohamed-Slim Alouini
Pedro M. Castro
Robert Schober
Victor C. M. Leung
Wen Chen 0001
Witold Pedrycz
Yi Qian
Ying Ding 0001
Yongtae Park
Yunfei Chen
Zbigniew Suraj
Zhiguo Ding 0001
Zhu Han
Ambuj Tewari
Andrew Zisserman
António Lucas Soares
Avrim Blum
Barry W. Boehm
Bernhard Schölkopf
Choong Seon Hong
Dana McKay
Daniela Zaharie
David Fernández Llorca
David Lo 0001
David M. Blei
David Romero
Diolino J. Santos Filho
Eduardo P. Wiechmann
Euripidis N. Loukis
Fabio Martinelli
Fei-Yue Wang 0001
Frank Vetere
François Fages
Frédérick Bénaben
Geoffrey E. Hinton
Gerald Bieber
Glenn H. Chapman
Haibo He
Hamideh Afsarmanesh
Harold Boley
Heng Huang
Hiroyuki Torikai
Hongbin Zha
Hyunseung Choo
Inderjit S. Dhillon
Jelena Zdravkovic
Johan A. K. Suykens
Joshua B. Tenenbaum
Juyang Weng
Kamalika Chaudhuri
Karim Djouani
Khan M. Iftekharuddin
Klaus Schoeffmann
Krishnendu Chatterjee
Li Li
Liang Zhao 0001
Luis M. Camarinha-Matos
Manfred Schmidt-Schauß
Marco Ottavi
Massimo Violante
Massoud Pedram
Matteo Sonza Reorda
Matthew J. Barth
MengChu Zhou
Michael Blumenstein
Michael J. Kearns
Michael R. Lyu
Mitsuko Aramaki
Nanning Zheng 0001
Nicolò Cesa-Bianchi
Nistor Grozavu
Ohad Shamir
Pablo Aqueveque
Panagiotis Papapetrou
Paul de Vrieze
Peter L. Bartlett
Ruslan Salakhutdinov
Salvatore Pontarelli
Sam T. Roweis
Samuel Kounev
Sarah Beecham
Sergiu Nedevschi
Spyros Tragoudas
Tong Zhang 0001
Viorel Negru
Wei Wang
Wei Wu
Wolfgang Maass 0001
Xin Yao 0001
Yee Whye Teh
Yevgeni Koucheryavy
Yong-Bin Kim
Yoram Singer
Yoshitaka Shibata
Zoubin Ghahramani
Aaron M. Dollar
Akira Mohri
Alin Albu-Schäffer
Alvaro A. Cárdenas
Andreas Hotho
Andrew A. Goldenberg
Antal K. Bejczy
Antoine Ferreira
Aristides Gionis
Arthur C. Sanderson
Axel Legay
Bamshad Mobasher
Bradley J. Nelson
Byung-Ju Yi
Caetano Traina Jr.
Christian Laugier
Christoph Stiller
Christopher Kruegel
Christos Faloutsos
Claudio Melchiorri
Craig Macdonald
Daniel Roggen
Davide Scaramuzza
Dimitrios Soudris
Djamal Zeghlache
Edmund M. Clarke
Elisa Bertino
Elon Rimon
Enhong Chen
Evangelos Papadopoulos
Farhad Aghili
Fatos Xhafa
Federica Cena
Francesco Bonchi
George J. Pappas
Gerd Ascheid
Giuseppe Oriolo
Guillaume Morel
Heikki Mannila
Hideharu Amano
Hiroshi Harada
Holger Claussen
Jaap Kamps
Jae-Bok Song
Jan Peters 0001
Jason M. O'Kane
Jian Pei
Jing Wang
Johannes A. Buchmann
John J. Leonard
Jun Ota
Jun Rekimoto
Jun Sun 0001
Kam S. Tso
Karthik Pattabiraman
Kazuhito Yokoi
Kazuo Tanie
Kei Okada
Kenneth R. Koedinger
Krishnendu Chatterjee
Li-Chen Fu
Luigi Villani
Mahmut T. Kandemir
Malú Castellanos
Marcello Cinque
Marco de Gemmis
Masaki Yamakita
Masayuki Inaba
Massimo Torquati
Michael Beigl
Michael K. Reiter
Michel C. Desmarais
Mohamed-Slim Alouini
Nikolaj Tatti
Noriki Uchida
Oussama Khatib
Paolo Dario
Patrick D. McDaniel
Peter Brusilovsky
Philip S. Yu
Pieter Abbeel
Qi Liu 0003
Qiang Yang 0001
Quan Z. Sheng
Ramjee Prasad
Ravishankar K. Iyer
Robert J. Wood
Rolf Johansson 0001
Rupak Majumdar
Ruy J. G. B. de Queiroz
Sanjit A. Seshia
Schahram Dustdar
Seiichi Sampei
Sertac Karaman
Shoji Hirano
Shusaku Tsumoto
Siddhartha S. Srinivasa
Stefan Kramer 0001
Steven Dubowsky
Steven M. LaValle
Sujeet Shenoi
Sunil Kumar Agrawal
Tadayoshi Kohno
Takahiro Uchiya
Tamio Arai
Tatsuo Nakajima
Thomas Ertl
Tobias Hoßfeld
Tomoyuki Ishida
Tony Clark
Toshio Fukuda
Tsuneo Yoshikawa
Tsutomu Hasegawa
Tyler Moore 0001
Vassilis Kostakos
Vern Paxson
W. Bruce Croft
William A. Gruver
William H. Sanders
Witold Kinsner
